variant,mean_verify,std_verify
Dilithium2,2.9893387635594535,0.06686340685316418
Dilithium3,4.47439973128908,0.09672254193789226
Dilithium5,7.128798568451353,0.15440248311040894
Falcon-1024,7.500762142892898,0.15518148745214524
Falcon-512,3.9188817269139498,0.08348595223828277
Falcon-padded-1024,7.459578104211636,0.16292165809218842
Falcon-padded-512,3.8921616294509023,0.08088288591288201
MAYO-2,4.596682385173548,0.09803637970286064
MAYO-3,22.956721917663423,0.4925891398521158
MAYO-5,50.038951414985405,1.085385914699726
ML-DSA-44,7.650914937847802,0.18138626333486438
ML-DSA-65,11.838535005789103,0.2603480781728984
ML-DSA-87,18.964937033303105,0.41738047273905193
P-256,10.632552554378236,0.23157464496035143
P-384,106.49712764464635,3.2550214500971917
P-521,127.27644086268492,3.1111487437499434
SPHINCS+-SHA2-128f-simple,117.65602395040449,2.525421985678445
SPHINCS+-SHA2-128s-simple,41.2885957293988,0.903087551517527
SPHINCS+-SHA2-192f-simple,183.12689089473966,4.0001346980152395
SPHINCS+-SHA2-192s-simple,69.02377910441245,1.4547936977231495
SPHINCS+-SHA2-256f-simple,188.85368540501392,3.9436700579534127
SPHINCS+-SHA2-256s-simple,97.84442845395408,2.073651187991069
SPHINCS+-SHAKE-128f-simple,212.4872448712618,4.463047955525727
SPHINCS+-SHAKE-128s-simple,73.33495563811636,1.5657665657902018
SPHINCS+-SHAKE-192f-simple,316.46541372084755,6.767335685429253
SPHINCS+-SHAKE-192s-simple,108.69992416707102,2.3813033373309778
SPHINCS+-SHAKE-256f-simple,325.88020112635223,6.727395909664302
SPHINCS+-SHAKE-256s-simple,160.92452195109547,3.4655418312238613
cross-rsdp-128-balanced,62.25077321131714,1.3749833658109045
cross-rsdp-128-fast,35.307152428397096,0.7470613776621773
cross-rsdp-128-small,232.99957748396747,5.101171061626287
cross-rsdp-192-balanced,134.9972027198747,2.8874057112503153
cross-rsdp-192-fast,81.50781653021686,1.8260082812129532
cross-rsdp-192-small,313.44689516924376,6.679162692091866
cross-rsdp-256-balanced,225.27180871239796,5.073597552595537
cross-rsdp-256-fast,155.46239447282602,3.4706965053311714
cross-rsdp-256-small,412.72081150057926,8.387136927953852
cross-rsdpg-128-balanced,45.56964169421097,0.9661448545254203
cross-rsdpg-128-fast,25.401577019649103,0.5485174973050726
cross-rsdpg-128-small,158.21342826491218,3.215715590789683
cross-rsdpg-192-balanced,63.60921879211928,1.3520266946600004
cross-rsdpg-192-fast,50.447936750167244,1.0605780296536818
cross-rsdpg-192-small,240.98410182442726,5.226866689005295
cross-rsdpg-256-balanced,110.22508595001482,2.324137379096746
cross-rsdpg-256-fast,88.22746783513227,1.9518156213666715
cross-rsdpg-256-small,301.120523236729,6.661039278532877
